City,Latitude,Longitude,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed (mph),Hotel
Presidente Dutra,-5.29,-44.49,BR,1595283514,79.66,51,6,2.51,Hotel Colibri
Porangatu,-13.44,-49.15,BR,1595283395,73.92,35,19,2.77,Lagoa Hotel Porangatu
Huéscar,37.81,-2.54,ES,1595283526,73.99,54,1,4.85,Hotel El Maño
Piranhas,-16.43,-51.82,BR,1595283531,75.96,39,0,4.94,Tropical Palace Hotel
Embu,-23.65,-46.85,BR,1595283539,71.01,49,0,1.12,Hotel Rancho Silvestre
Pozo Colorado,-23.49,-58.8,PY,1595283573,79.48,44,0,6.35,Hospedaje la Amistad
Zhezkazgan,47.8,67.71,KZ,1595283574,75.99,31,1,7.49,Kosmos
Charagua,-19.8,-63.22,BO,1595283596,75.97,54,13,7.54,Residencial Luismar
Pereira Barreto,-20.64,-51.11,BR,1595283617,74.35,43,5,5.86,Hotel Pousada Pantal
